f_Hz,Sn_Hz^-1
0.0003204445402397148,3.171150898461866e-36
0.00032229541486257003,3.07856023259432e-36
0.0003241569800619193,2.9887702519427856e-36
0.00032602929758609767,2.90169366831056e-36
0.00032791242954009476,2.8172459797841302e-36
0.0003298064383876184,2.735345380160484e-36
0.00033171138695316195,2.6559126713585727e-36
0.0003336273384240918,2.5788711787149497e-36
0.00033555435635274165,2.5041466690682524e-36
0.00033749250465852086,2.4316672715395292e-36
0.0003394418476300351,2.3613634009188666e-36
0.0003414024499272171,2.293167683571809e-36
0.000343374376583475,2.227014885781606e-36
0.00034535769300784487,2.1628418444468517e-36
0.0003473524649871642,2.100587400055727e-36
0.0003493587586882521,2.0401923318617743e-36
0.0003513766406601046,1.9815992951878494e-36
0.0003534061778361024,1.924752760787728e-36
0.0003554474375362292,1.8695989561972004e-36
0.0003575004874693087,1.816085809008398e-36
