freq_Hz,Sn_1_per_Hz,hc_sensitivity
4.268891901551232e-05,3.299890789627027e-31,3.75324886835956e-18
4.29354884743766e-05,3.1882879369925155e-31,3.699874321807919e-18
4.318348210840039e-05,3.0804648205001313e-31,3.647261951952783e-18
4.343290814356137e-05,2.9762933076100177e-31,3.5954008655186464e-18
4.368377485335012e-05,2.87564961223129e-31,3.544280324943771e-18
4.393609055904483e-05,2.778414147220552e-31,3.493889746154184e-18
4.4189863629986705e-05,2.6844713818878203e-31,3.4442186963696825e-18
4.4445102483858285e-05,2.5937097043389693e-31,3.3952568919409216e-18
4.470181558696193e-05,2.5060212884915683e-31,3.346994196217717e-18
4.496001145450139e-05,2.421301965604361e-31,3.299420617447536e-18
4.521969865086361e-05,2.3394511001681266e-31,3.2525263067042826e-18
4.5480885789903075e-05,2.260371470009098e-31,3.206301555846535e-18
4.574358153522784e-05,2.183969150462181e-31,3.160736795504951e-18
4.600779460048622e-05,2.110153402476127e-31,3.1158225930986313e-18
4.627353374965658e-05,2.038836564516419e-31,3.071549650879575e-18
4.654080779733731e-05,1.969933948137814e-31,3.0279088040053627e-18
4.680962560903992e-05,1.9033637371010853e-31,2.9848910186391207e-18
4.707999610148248e-05,1.8390468899144486e-31,2.942487390076901e-18
4.7351928242885654e-05,1.776907045682759e-31,2.9006891409016575e-18
4.7625431053270476e-05,1.7168704331524437e-31,2.859487619163621e-18
4.790051360475687e-05,1.6588657828438939e-31,2.8188742965868413e-18
4.8177185021865325e-05,1.6028242421659282e-31,2.7788407668011314e-18
4.8455454481818935e-05,1.5486792934117488e-31,2.7393787435995137e-18
4.873533121484802e-05,1.4963666745380384e-31,2.7004800592204342e-18
4.901682450449665e-05,1.445824302632914e-31,2.6621366626545265e-18
4.9299943687929886e-05,1.3969921999816346e-31,2.6243406179757205e-18
4.9584698156244234e-05,1.349812422641441e-31,2.5870841026960185e-18
4.987109735477843e-05,1.304228991440836e-31,2.550359406143974e-18
5.015915078342748e-05,1.2601878253205257e-31,2.5141589278661725e-18
5.044886799695699e-05,1.217636676936986e-31,2.478475176051747e-18
5.0740258605320947e-05,1.1765250704513811e-31,2.443300765979222e-18
5.1033332273979684e-05,1.1368042414300995e-31,2.4086284184857508e-18
5.1328098724220876e-05,1.0984270787848416e-31,2.3744509584580998e-18
5.162456773348225e-05,1.0613480686831964e-31,2.3407613133452167e-18
5.192274913567521e-05,1.025523240362923e-31,2.3075525116921782e-18
5.222265282151184e-05,9.909101137849846e-32,2.27481768169491e-18
5.2524288738832276e-05,9.574676490633132e-32,2.2425500497757546e-18
5.282766689293496e-05,9.251561976106639e-32,2.210742939179281e-18
5.3132797346908855e-05,8.939374549424285e-32,2.1793897685881596e-18
5.3439690221966477e-05,8.637744150822559e-32,2.1484840507589544e-18
5.374835569778051e-05,8.346313265147928e-32,2.118019391177226e-18
5.405880401282055e-05,8.064736496334009e-32,2.0879894867320603e-18
5.437104546469363e-05,7.79268015631734e-32,2.0583881244093542e-18
5.468509041048491e-05,7.529821867905047e-32,2.0292091800039586e-18
5.5000949267102066e-05,7.275850181117616e-32,2.0004466168500607e-18
5.531863251162011e-05,7.030464202552321e-32,1.972094484569875e-18
5.563815068162918e-05,6.793373237322987e-32,1.9441469178401187e-18
5.5959514375584475e-05,6.564296443150094e-32,1.9165981351761137e-18
5.628273425315696e-05,6.3429624961897e-32,1.889442437733381e-18
5.66078210355879e-05,6.129109268200566e-32,1.862674208126211e-18
5.693478550604366e-05,5.922483514667023e-32,1.836287909263268e-18
5.726363850997374e-05,5.722840573503879e-32,1.8102780831997525e-18
5.7594390955470855e-05,5.529944073984777e-32,1.784639350005957e-18
5.792705381363196e-05,5.343565655547841e-32,1.7593664066521087e-18
5.826163811892308e-05,5.163484696141475e-32,1.7344540259089951e-18
5.8598154969544416e-05,4.98948804978873e-32,1.7098970552644682e-18
5.893661552779937e-05,4.82136979305511e-32,1.6856904158552799e-18
5.927703102046402e-05,4.658930980119708e-32,1.6618291014143325e-18
5.961941273915982e-05,4.501979406155995e-32,1.6383081772328791e-18
5.996377204072855e-05,4.3503293787409466e-32,1.6151227791375689e-18
6.031012034760816e-05,4.203801497020492e-32,1.592268112482195e-18
6.0658469148212616e-05,4.0622224383666824e-32,1.5697394511537335e-18
6.100882999731202e-05,3.925424752273955e-32,1.5475321365927183e-18
6.136121451641682e-05,3.793246661247171e-32,1.5256415768274984e-18
6.17156343941625e-05,3.6655318684456174e-32,1.5040632455224118e-18
6.20721013866976e-05,3.5421293718524933e-32,1.4827926810394887e-18
6.24306273180741e-05,3.4228932847489463e-32,1.461825485513575e-18
6.279122408063868e-05,3.307682662279014e-32,1.4411573239407453e-18
6.315390363542825e-05,3.196361333897765e-32,1.4207839232796392e-18
6.351867801256583e-05,3.0887977415041725e-32,1.4007010715657501e-18
6.38855593116599e-05,2.984864783064816e-32,1.38090461703831e-18
6.42545597022062e-05,2.8844396615424305e-32,1.361390467279647e-18
6.462569142399045e-05,2.787403738949676e-32,1.342154588366925e-18
6.49989667874954e-05,2.6936423953532375e-32,1.323193004035899e-18
6.537439817430813e-05,2.6030448926613876e-32,1.3045017948567365e-18
6.575199803753178e-05,2.515504243031566e-32,1.2860770974215131e-18
6.613177890219758e-05,2.430917081742257e-32,1.2679151035434284e-18
6.651375336568135e-05,2.349183544376628e-32,1.2500120594673643e-18
6.689793409812047e-05,2.2702071481725916e-32,1.2323642650918276e-18
6.728433384283451e-05,2.193894677397116e-32,1.2149680732019474e-18
6.76729654167483e-05,2.1201560726085614e-32,1.1978198887134413e-18
6.806384171081621e-05,2.0489043236753364e-32,1.1809161679274487e-18
6.845697569045078e-05,1.9800553664227576e-32,1.1642534177959253e-18
6.88523803959518e-05,1.9135279827857745e-32,1.1478281951976282e-18
6.925006894293933e-05,1.849243704347949e-32,1.1316371062243938e-18
6.965005452278913e-05,1.7871267191520608e-32,1.115676805477618e-18
7.005235040306923e-05,1.727103781671511e-32,1.0999439953748493e-18
7.04569699279812e-05,1.6691041258347433e-32,1.0844354254662093e-18
7.086392651880154e-05,1.6130593809997595e-32,1.0691478917606791e-18
7.127323367432816e-05,1.5589034907779237e-32,1.0540782360619197e-18
7.168490497132681e-05,1.5065726346110754e-32,1.0392233453136838e-18
7.209895406498272e-05,1.4560051520078625e-32,1.0245801509544925e-18
7.251539468935248e-05,1.407141469349669e-32,1.0101456282816188e-18
7.293424065781998e-05,1.3599240291784913e-32,9.959167958241104e-19
7.335550586355516e-05,1.3142972218827365e-32,9.81890714724777e-19
7.377920427997371e-05,1.2702073196997389e-32,9.680644881310589e-19
7.420534996120181e-05,1.2276024129559983e-32,9.544352605945341e-19
7.463395704254126e-05,1.1864323484696777e-32,9.410002174790783e-19
7.506503974093876e-05,1.1466486700416291e-32,9.277565843774403e-19
7.549861235545798e-05,1.1082045609642284e-32,9.14701626536155e-19
7.593468926775283e-05,1.0710547884797154e-32,9.018326482887271e-19
7.637328494254563e-05,1.0351556501215417e-32,8.891469924968457e-19
7.68144139281059e-05,1.0004649218752587e-32,8.766420399996584e-19
7.725809085673338e-05,9.669418080968696e-33,8.64315209070869e-19
7.770433044524385e-05,9.3454689312918e-33,8.521639548835998e-19
7.815314749545617e-05,9.032420945586474e-33,8.401857689829477e-19
7.860455689468456e-05,8.729906180567701e-33,8.283781787660104e-19
7.905857361623111e-05,8.437569137526552e-33,8.167387469694226e-19
7.951521271988373e-05,8.155066340844202e-33,8.052650711641419e-19
7.997448935241442e-05,7.882065930796481e-33,7.939547832575301e-19
8.043641874808295e-05,7.618247270160605e-33,7.828055490024826e-19
8.090101622914111e-05,7.363300564159137e-33,7.718150675136384e-19
8.136829720634132e-05,7.11692649328627e-33,7.609810707904643e-19
8.183827717944845e-05,6.878835858580447e-33,7.503013232471577e-19
8.231097173775265e-05,6.648749238922039e-33,7.397736212493092e-19
8.278639656058789e-05,6.426396659945931e-33,7.293957926571289e-19
