freq_Hz,h_c_instrument_only,h_c_instrument_plus_confusion
1.60547224e-04,1.48058378e-19,1.48058378e-19
1.61474539e-04,1.46074537e-19,1.46074537e-19
1.62407209e-04,1.44118553e-19,1.44118554e-19
1.63345266e-04,1.42190030e-19,1.42190030e-19
1.64288742e-04,1.40288574e-19,1.40288574e-19
1.65237667e-04,1.38413800e-19,1.38413800e-19
1.66192073e-04,1.36565327e-19,1.36565327e-19
1.67151992e-04,1.34742780e-19,1.34742780e-19
1.68117455e-04,1.32945789e-19,1.32945789e-19
1.69088494e-04,1.31173989e-19,1.31173989e-19
1.70065143e-04,1.29427021e-19,1.29427021e-19
1.71047432e-04,1.27704530e-19,1.27704531e-19
1.72035395e-04,1.26006169e-19,1.26006169e-19
1.73029064e-04,1.24331591e-19,1.24331591e-19
1.74028473e-04,1.22680458e-19,1.22680458e-19
1.75033655e-04,1.21052436e-19,1.21052436e-19
1.76044642e-04,1.19447194e-19,1.19447195e-19
1.77061469e-04,1.17864409e-19,1.17864409e-19
1.78084168e-04,1.16303758e-19,1.16303759e-19
1.79112775e-04,1.14764928e-19,1.14764929e-19
1.80147323e-04,1.13247606e-19,1.13247607e-19
1.81187847e-04,1.11751486e-19,1.11751487e-19
1.82234381e-04,1.10276266e-19,1.10276266e-19
1.83286959e-04,1.08821646e-19,1.08821647e-19
1.84345617e-04,1.07387335e-19,1.07387335e-19
1.85410390e-04,1.05973041e-19,1.05973041e-19
1.86481313e-04,1.04578479e-19,1.04578479e-19
1.87558421e-04,1.03203368e-19,1.03203369e-19
1.88641751e-04,1.01847432e-19,1.01847432e-19
1.89731338e-04,1.00510395e-19,1.00510395e-19
